unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,day,day_of_week,hour,minute,year_month_day,intersection_street_1,intersection_street_2,facility_type,due_date
51157301,2021-07-09T09:18:00.000,2021-07-09T09:18:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10458,,,,,INTERSECTION,BRONX,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-09T09:18:00.000,07 BRONX,,BRONX,1016648,258585,PHONE,Unspecified,BRONX,40.87637095180376,-73.88284820118412,"{'latitude': '40.87637095180376', 'longitude': '-73.88284820118412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,9,18,2021-07-09,MOSHOLU PARKWAY,VAN CORTLANDT AVENUE EAST,,
51153028,2021-07-09T11:14:00.000,2021-07-09T18:35:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11422,255-10 149 AVENUE,149 AVENUE,WELLER LN,257 ST,ADDRESS,Rosedale,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-07-09T18:35:00.000,13 QUEENS,4136690007,QUEENS,1058064,177284,PHONE,Unspecified,QUEENS,40.65297266875289,-73.73398059128417,"{'latitude': '40.65297266875289', 'longitude': '-73.73398059128417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,11,14,2021-07-09,,,,
51159990,2021-07-09T17:57:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10306,19 MAPLETON AVENUE,MAPLETON AVENUE,GRIMSBY ST,FREEBORN ST,ADDRESS,STATEN ISLAND,Open,,,02 STATEN ISLAND,5037960001,STATEN ISLAND,958480,148615,ONLINE,Unspecified,STATEN ISLAND,40.57455237383933,-74.0927637348707,"{'latitude': '40.57455237383933', 'longitude': '-74.0927637348707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,17,57,2021-07-09,,,,
51158444,2021-07-09T12:52:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10306,126 FOX LANE,FOX LANE,CEDAR GROVE AVE,HETT AVE,ADDRESS,STATEN ISLAND,Open,,,03 STATEN ISLAND,5047810033,STATEN ISLAND,952602,140579,ONLINE,Unspecified,STATEN ISLAND,40.55247609242258,-74.11388502004796,"{'latitude': '40.55247609242258', 'longitude': '-74.11388502004796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,12,52,2021-07-09,,,,
51157242,2021-07-09T07:56:00.000,2021-07-09T20:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11414,78-02 149 AVENUE,149 AVENUE,LORING AVE,79 ST,ADDRESS,Howard Beach,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2021-07-09T20:00:00.000,10 QUEENS,4114100072,QUEENS,1023991,182901,ONLINE,Unspecified,QUEENS,40.66860853774504,-73.85674338104985,"{'latitude': '40.66860853774504', 'longitude': '-73.85674338104985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,7,56,2021-07-09,,,,
51153029,2021-07-09T10:37:00.000,2021-07-09T16:50:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11429,105-07 227 STREET,227 STREET,105 AVE,106 AVE,ADDRESS,Queens Village,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-07-09T16:50:00.000,13 QUEENS,4111770016,QUEENS,1059507,197750,PHONE,Unspecified,QUEENS,40.70913477257084,-73.72855161287002,"{'latitude': '40.70913477257084', 'longitude': '-73.72855161287002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,10,37,2021-07-09,,,,
51154352,2021-07-09T09:22:00.000,2021-07-10T21:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10451,340 MORRIS AVENUE,MORRIS AVENUE,E 140 ST,E 142 ST,ADDRESS,BRONX,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2021-07-10T21:30:00.000,01 BRONX,2023250001,BRONX,1004947,235745,ONLINE,Unspecified,BRONX,40.81371707692478,-73.9252297147797,"{'latitude': '40.81371707692478', 'longitude': '-73.9252297147797', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,9,22,2021-07-09,,,,
51151608,2021-07-09T08:55:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11218,852 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,DORCHESTER RD,DITMAS AVE,ADDRESS,BROOKLYN,Open,,,12 BROOKLYN,3053930045,BROOKLYN,993110,171261,ONLINE,Unspecified,BROOKLYN,40.63674403887982,-73.96807712356006,"{'latitude': '40.63674403887982', 'longitude': '-73.96807712356006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,8,55,2021-07-09,,,,
51154266,2021-07-09T11:02:00.000,2021-07-09T11:15:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11106,,,,,INTERSECTION,Astoria,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-09T11:15:00.000,01 QUEENS,,QUEENS,1002539,217202,ONLINE,Unspecified,QUEENS,40.76282684097441,-73.93397937562771,"{'latitude': '40.76282684097441', 'longitude': '-73.93397937562771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,11,2,2021-07-09,34 AVENUE,21 STREET,,
51155591,2021-07-09T22:14:00.000,2021-07-10T09:35:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11429,,,,,INTERSECTION,Queens Village,Closed,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-10T09:35:00.000,13 QUEENS,,QUEENS,1054896,197906,ONLINE,Unspecified,QUEENS,40.709600971291515,-73.74518153485039,"{'latitude': '40.709600971291515', 'longitude': '-73.74518153485039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,22,14,2021-07-09,HOLLIS AVENUE,212 PLACE,,
51151794,2021-07-09T15:16:00.000,2021-07-12T10:25:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11692,72-34 BURCHELL AVENUE,BURCHELL AVENUE,BEACH 72 ST,BARBADOES DR,ADDRESS,Arverne,Closed,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-12T10:25:00.000,14 QUEENS,4160640014,QUEENS,1039195,156472,ONLINE,Unspecified,QUEENS,40.59598541573345,-73.80215200514698,"{'latitude': '40.59598541573345', 'longitude': '-73.80215200514698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,15,16,2021-07-09,,,,
51153183,2021-07-09T09:22:00.000,2021-07-09T12:45:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11204,,,,,INTERSECTION,BROOKLYN,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-09T12:45:00.000,12 BROOKLYN,,BROOKLYN,987168,166387,PHONE,Unspecified,BROOKLYN,40.62336988839489,-73.98948845527158,"{'latitude': '40.62336988839489', 'longitude': '-73.98948845527158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,9,22,2021-07-09,17 AVENUE,60 STREET,,
51154271,2021-07-09T08:52:00.000,2021-07-11T11:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11235,170 GIRARD STREET,GIRARD STREET,HAMPTON AVE,ORIENTAL BLVD,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-11T11:00:00.000,15 BROOKLYN,3087490271,BROOKLYN,999376,150074,PHONE,Unspecified,BROOKLYN,40.57858159066607,-73.94554797327548,"{'latitude': '40.57858159066607', 'longitude': '-73.94554797327548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,8,52,2021-07-09,,,,
51157239,2021-07-09T09:28:00.000,2021-07-09T18:10:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11422,,,,,INTERSECTION,Rosedale,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2021-07-09T18:10:00.000,13 QUEENS,,QUEENS,1059297,178913,PHONE,Unspecified,QUEENS,40.65743353264973,-73.72951886402619,"{'latitude': '40.65743353264973', 'longitude': '-73.72951886402619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,9,28,2021-07-09,259 STREET,147 AVENUE,,
51159516,2021-07-09T16:07:00.000,2021-07-10T08:50:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11212,,,,,INTERSECTION,BROOKLYN,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-10T08:50:00.000,16 BROOKLYN,,BROOKLYN,1007890,182100,ONLINE,Unspecified,BROOKLYN,40.666467605597454,-73.91478632151681,"{'latitude': '40.666467605597454', 'longitude': '-73.91478632151681', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,16,7,2021-07-09,HERZL STREET,SUTTER AVENUE,,
51164062,2021-07-10T08:13:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10314,537 BUCHANAN AVENUE,BUCHANAN AVENUE,WILLOWBROOK RD,HAROLD ST,ADDRESS,STATEN ISLAND,Open,,,02 STATEN ISLAND,5008220070,STATEN ISLAND,947242,158806,ONLINE,Unspecified,STATEN ISLAND,40.602484814305846,-74.1332726900648,"{'latitude': '40.602484814305846', 'longitude': '-74.1332726900648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,6,8,13,2021-07-10,,,,
51169917,2021-07-10T13:40:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10314,240 QUEEN STREET,QUEEN STREET,LIVINGSTON AVE,GRAVES ST,ADDRESS,STATEN ISLAND,Open,,,02 STATEN ISLAND,5008120016,STATEN ISLAND,948327,158895,ONLINE,Unspecified,STATEN ISLAND,40.60273356548728,-74.12936588239418,"{'latitude': '40.60273356548728', 'longitude': '-74.12936588239418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,6,13,40,2021-07-10,,,,
51159989,2021-07-09T22:52:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10314,51 KEATING PLACE,KEATING PLACE,ROCKLAND AVE,GLENN RD,ADDRESS,STATEN ISLAND,Open,,,02 STATEN ISLAND,5020050166,STATEN ISLAND,941287,155453,PHONE,Unspecified,STATEN ISLAND,40.59325465227164,-74.15469638697358,"{'latitude': '40.59325465227164', 'longitude': '-74.15469638697358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,22,52,2021-07-09,,,,
51142279,2021-07-08T16:08:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11223,2318 EAST    3 STREET,EAST    3 STREET,GRAVESEND NECK RD,AVENUE W,ADDRESS,BROOKLYN,Open,,,15 BROOKLYN,3071540038,BROOKLYN,993143,155539,PHONE,Unspecified,BROOKLYN,40.59359037097733,-73.9679789306735,"{'latitude': '40.59359037097733', 'longitude': '-73.9679789306735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,4,16,8,2021-07-08,,,,
51146252,2021-07-08T13:43:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10314,250 AUBURN AVENUE,AUBURN AVENUE,CAMBRIDGE AVE,DEAD END,ADDRESS,STATEN ISLAND,Assigned,"Please call 311 for further information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2021-07-13T11:00:00.000,01 STATEN ISLAND,5015250044,STATEN ISLAND,942511,162515,ONLINE,Unspecified,STATEN ISLAND,40.61264422566367,-74.15033279197208,"{'latitude': '40.61264422566367', 'longitude': '-74.15033279197208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,4,13,43,2021-07-08,,,,
51147691,2021-07-08T17:24:00.000,2021-07-09T08:15:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10456,1347 WEBSTER AVENUE,WEBSTER AVENUE,E 169 ST,E 170 ST,ADDRESS,BRONX,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2021-07-09T08:15:00.000,04 BRONX,2028870165,BRONX,1009701,243556,ONLINE,Unspecified,BRONX,40.83514362527446,-73.90802572809687,"{'latitude': '40.83514362527446', 'longitude': '-73.90802572809687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,4,17,24,2021-07-08,,,,
51155598,2021-07-09T10:15:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11223,2284 WEST    6 STREET,WEST    6 STREET,WOLF PL,AVENUE W,ADDRESS,BROOKLYN,Open,,,15 BROOKLYN,3071440040,BROOKLYN,990712,155114,ONLINE,Unspecified,BROOKLYN,40.59242593712124,-73.97673265044837,"{'latitude': '40.59242593712124', 'longitude': '-73.97673265044837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,10,15,2021-07-09,,,,
51158588,2021-07-09T09:05:00.000,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11223,,,,,INTERSECTION,BROOKLYN,Open,,,15 BROOKLYN,,BROOKLYN,993851,159679,PHONE,Unspecified,BROOKLYN,40.60495309336484,-73.96542374777039,"{'latitude': '40.60495309336484', 'longitude': '-73.96542374777039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,5,9,5,2021-07-09,EAST 7 STREET,AVENUE R,,
51177908,2021-07-11T19:34:00.000,2021-07-12T10:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11216,,,,,INTERSECTION,BROOKLYN,Closed,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2021-07-12T10:00:00.000,03 BROOKLYN,,BROOKLYN,998701,190220,PHONE,Unspecified,BROOKLYN,40.688774933300735,-73.94789193251222,"{'latitude': '40.688774933300735', 'longitude': '-73.94789193251222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,0,19,34,2021-07-11,MARCY AVENUE,GREENE AVENUE,,
